Pais,2015,2016,2017,2018,2019
AT,344269.2 ,357608.0 ,369361.9 ,385274.1 ,397169.5 
BE,416701.4 ,430085.3 ,445050.1 ,460050.8 ,478645.0 
CH,625532.7 ,621765.1 ,615776.3 ,614304.4 ,644443.2 
DE,3026180.0 ,3134740.0 ,3267160.0 ,3365450.0 ,3473260.0
DK,273017.6 ,283109.7 ,294808.2 ,302328.7 ,309526.4 
ES,1078092.0 ,1114420.0 ,1162492.0 ,1203859.0 ,1245513.0 
FR,2198432.0 ,2234129.0 ,2297242.0 ,2363306.0 ,2437635.0 
IE,262975.9 ,270205.3 ,297763.2 ,326631.3 ,356704.6 
IT,1655355.0 ,1695786.8 ,1736592.8 ,1771391.2 ,1796648.5 
LU,54142.3 ,56208.1 ,58168.8 ,60121.2 ,62373.6 
NL,690008.0 ,708337.0 ,738146.0 ,773987.0 ,813055.0 
NO,349756.7 ,335396.5 ,356288.5 ,372657.6 ,365130.5 
PT,179713.2 ,186489.8 ,195947.2 ,205184.1 ,214374.6 
SE,455494.7 ,466266.5 ,480025.5 ,470673.1 ,476869.5 
UK,2644716.5 ,2434119.2 ,2359789.9 ,2420897.2 ,2526615.2 
