pais,2015,2016,2017,2018,2019
austria,8584926 ,8700471 ,8772865 ,8822267 ,8858775 
belgica,11237274 ,11311117 ,11351727 ,11398589 ,11455519 
republica checa,10538275 ,10553843 ,10578820 ,10610055 ,10649800 
alemania,81197537 ,82175684 ,82521653 ,82792351 ,83019213 
dinamarca,5659715 ,5707251 ,5748769 ,5781190 ,5806081 
espana,46449565 ,46440099 ,46528024 ,46658447 ,46937060 
francia,66458153 ,66638391 ,66809816 ,67026224,67177636 
irlanda,4677627 ,4726286 ,4784383 ,4830392 ,4904240 
italia,60795612 ,60665551 ,60589445 ,60483973 ,59816673 
luxemburgo,562958 ,576249 ,590667 ,602005 ,613894 
paises bajos,16900726 ,16979120 ,17081507 ,17181084 ,17282163 
noruega,5166493 ,5210721 ,5258317 ,5295619 ,5328212 
portugal,10374822 ,10341330 ,10309573 ,10291027 ,10276617 
suecia,9747355 ,9851017 ,9995153 ,10120242 ,10230185 
reino unido,64853393 ,65379044 ,65844142 ,66273576 ,66647112 
